lichess_id,ply,result,crisc_player
IfAFu6nl,63,0-1,White
nxsw9BMX,62,0-1,Black
I9kB79IZ,101,1/2-1/2,White
nXYMwuld,66,0-1,Black
UE0KifYn,36,0-1,Black
XFuwzKJl,108,1/2-1/2,Black
BDeDrJzy,64,1-0,Black
W83iA1C7,69,1-0,White
3xCbMuar,42,0-1,Black
WtPEgZrX,55,1-0,White
WtPEgZrX,71,1-0,White
Kef9ydzw,114,1-0,Black
uIIg2SbZ,60,1-0,Black
QySVskrp,37,1-0,White
AnkXVMMb,89,1-0,White
gG578HGg,76,0-1,Black
E20iM7hm,59,1-0,White
SS4TbtJe,132,1/2-1/2,Black
QubMYHkA,111,1-0,White
j8Jkl4Uh,58,0-1,Black
GLoxFpun,113,1-0,White
Kjuk6zHd,83,1-0,White
NSmmjHt5,77,1-0,White
Gt1uJLq3,87,1-0,White
KKxaS9lW,114,1-0,Black
1uwTSOy6,66,1/2-1/2,Black
RjiR2RKL,85,0-1,White
zqF5xhsy,50,0-1,Black
wGMxIqSm,78,1-0,Black
pbYnVjS8,77,1-0,White
rWcmvDLe,56,0-1,Black
QDXZmEyE,77,1/2-1/2,White
AZIw4t3A,47,1-0,White
e8b2edie,118,1-0,Black
DEIv2CVm,84,0-1,Black
gi0LXave,51,0-1,White
r9uXRj52,46,0-1,Black
e5H6d6RF,67,0-1,White
YZqwUXJw,85,0-1,White
WrK72AtG,116,0-1,Black
zFhyuqkx,169,1-0,White
zFhyuqkx,175,1-0,White
OVYG9mus,66,0-1,Black
GNRUgqYf,84,0-1,Black
aiqn9gxa,78,1-0,Black
QjiHfWjN,58,0-1,Black
R0I6eqkA,56,1-0,Black
R0I6eqkA,59,1-0,White
NPXxVDMG,62,0-1,Black
htXfuamG,54,0-1,Black
tP3JfOWA,79,0-1,White
KiEDNvDP,132,1-0,Black
nc0j3Tbr,65,1-0,White
ayj3g9PT,72,0-1,Black
AP6wgwhJ,69,0-1,White
LEcAP9sS,48,0-1,Black
ZOx1Uapw,94,1-0,Black
jS5gYYVv,118,0-1,Black
cQ9ncx3N,76,0-1,Black
knsqnRw9,75,0-1,White
QpGiidMk,98,1-0,Black
SNP4HSmP,120,0-1,Black
IUTnyAuZ,96,0-1,Black
3T3AkdG0,56,0-1,Black
8fLgiJsG,62,0-1,Black
bsWiS74L,84,1-0,Black
