lichess_id,ply,result,player,time_scramble_bracket,player_elo
ihvmZ7vF,86,1-0,Black,<=5s vs <=5s,1715
1apZ1UIr,131,0-1,White,<=5s vs 5-10s,2060
Zx134CHZ,117,0-1,White,<=5s vs <=5s,1581
3fhuQenD,76,0-1,Black,<=5s vs 5-10s,1592
xYQSGuA9,47,1-0,White,<=5s vs 15-20s,1483
SKSErV3y,59,1-0,White,<=5s vs 10-15s,1770
ht2MxpG0,55,1-0,White,<=5s vs 15-20s,1527
cpAyIvgy,63,1-0,White,<=5s vs 15-20s,1361
SA4gvtmu,54,0-1,Black,<=5s vs 15-20s,1739
jQf3zzeK,71,0-1,White,<=5s vs <=5s,1605
A9OtEoaV,91,1-0,White,<=5s vs 5-10s,1159
VZZ4oYdt,69,1-0,White,<=5s vs 5-10s,1590
XAnnVuip,46,0-1,Black,<=5s vs 10-15s,1295
4rgHKfOC,44,0-1,Black,<=5s vs 15-20s,1206
6Gql6Xpy,107,0-1,White,<=5s vs 5-10s,1571
eBn2V7ND,84,1-0,Black,<=5s vs <=5s,1779
yksDx0eI,47,1-0,White,<=5s vs 10-15s,1062
JzsFDIOc,81,1-0,White,<=5s vs 10-15s,2282
B7lDeM2f,109,1-0,White,<=5s vs 5-10s,2588
WTdHbI1S,70,0-1,Black,<=5s vs 15-20s,1383
ErMhqonb,81,1-0,White,<=5s vs <=5s,1817
SPSJ7GJk,118,1-0,Black,<=5s vs 5-10s,1868
Kv3Hr5jn,71,1-0,White,<=5s vs 15-20s,2396
9B4k3Z6E,72,0-1,Black,<=5s vs 10-15s,1952
30xMhE24,74,1-0,Black,<=5s vs <=5s,1614
UKpSZT6M,45,1-0,White,<=5s vs 15-20s,1244
7Pn1LBc7,48,0-1,Black,<=5s vs 15-20s,1619
JadNGjIw,69,1-0,White,<=5s vs <=5s,1176
UYN8APvi,90,0-1,Black,<=5s vs 5-10s,2451
jERgj3CT,104,0-1,Black,<=5s vs 5-10s,2030
GWvCfl2a,136,1/2-1/2,Black,<=5s vs 5-10s,2387
